Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[3.90, 4.20)",4.05,4.0250723415634395,1120,107,12,2,0.694536342159444,0.6804039625082418,0.711115766356197,5593.1481377190585,1389.577046842974
"[4.20, 4.50)",4.35,4.351875362227804,603,54,9,2,0.7019400652725863,0.6686291493901864,0.7057650322785171,3192.044779375625,733.4871782131092
"[4.50, 4.80)",4.65,4.654140988548789,453,17,9,1,0.6843033623041808,0.6581787927593598,0.6984673731865239,2703.9883637684698,580.9854859191969
"[4.80, 5.10)",4.949999999999999,4.941294353864715,283,15,4,0,0.6894281513753436,0.6523748331126802,0.6342780476279463,1768.0291695054402,357.8068908448286
"[5.10, 5.40)",5.25,5.242825889976914,182,6,4,0,0.7006777052656915,0.6772858372233244,0.7492045077525186,1179.675383764233,225.00754526666677
"[5.40, 5.70)",5.550000000000001,5.539496224703836,120,2,2,0,0.678888502039735,0.6518246969740833,0.6537117860026442,879.7417961899312,158.81259964880033
"[5.70, 6.00)",5.85,5.829090616782877,83,1,3,0,0.6359342760789675,0.6641452433082656,0.6041921268345573,609.7144076974291,104.59854680281768
"[6.00, 6.30)",6.15,6.147016757192968,52,1,2,0,0.6946374526058574,0.6312113381983886,0.6587610044007237,359.8073408885886,58.53365219275805
"[6.30, 6.60)",6.449999999999999,6.415316587426499,32,0,0,0,0.7210550485410976,0.6414040496522075,0.0,284.70798618359186,44.37941328438825
"[6.60, 6.90)",6.75,6.735977937671863,22,0,1,0,0.7212267699147747,0.7069098131360635,0.5639478768851485,146.90675857784606,21.80926955776536
"[6.90, 7.50)",7.2,7.2084841257469625,13,1,0,0,0.6003743099467612,0.6017510736657602,0.0,144.07979834552577,19.98753078069598
"[7.50, 8.80)",8.15,7.784806808464026,6,0,0,0,0.724348031698253,0.6010397156554258,0.0,64.48397566743441,8.283310974053235
"[8.80, 10.00)",9.4,9.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0
